Year,Month,GDP_nominal,GDP_real,Price_index
1995,7,-21.658892927588568,-2165.8892927588568,1
1995,8,86.03039315240517,8603.039315240516,1
1995,9,144.15517366925815,14415.517366925815,1
1995,10,149.29423198865584,14929.423198865585,1
1995,11,156.5903514762481,15659.035147624809,1
1995,12,-628.6486845022664,-62864.86845022664,1
1996,1,-747.0420925812065,-74704.20925812065,1
1996,2,-697.8210893948986,-69782.10893948986,1
1996,3,-660.0748915776788,-66007.48915776788,1
1996,4,355.75928423616676,35575.92842361668,1
1996,5,368.64122141228194,36864.122141228196,1
1996,6,391.3617033163617,39136.17033163617,1
1996,7,334.2375133140795,33423.75133140795,1
1996,8,379.30343477111893,37930.34347711189,1
1996,9,417.25625105315186,41725.62510531519,1
1996,10,476.2387455258621,47623.87455258621,1
1996,11,526.5857015549275,52658.57015549275,1
1996,12,457.16890250602796,45716.890250602795,1
1997,1,438.6281317448346,43862.81317448346,1
1997,2,549.8261726370371,54982.61726370371,1
1997,3,552.003808548306,55200.3808548306,1
1997,4,668.9128228443233,66891.28228443232,1
1997,5,601.0349988907632,60103.499889076316,1
1997,6,709.3561200533139,70935.6120053314,1
1997,7,772.2549700584292,77225.49700584292,1
1997,8,717.9793368266901,71797.93368266901,1
1997,9,803.3310109845538,80333.10109845539,1
1997,10,793.6357832035812,79363.57832035812,1
1997,11,745.2694441553226,74526.94441553226,1
1997,12,811.2867845113219,81128.67845113219,1
1998,1,763.1525949431589,76315.25949431589,1
1998,2,904.3366661223924,90433.66661223925,1
1998,3,941.1897887205639,94118.9788720564,1
1998,4,874.6727534092183,87467.27534092183,1
1998,5,840.8203508599411,84082.03508599411,1
1998,6,979.1023717442592,97910.23717442593,1
1998,7,909.5676067337547,90956.76067337547,1
1998,8,908.3288464999767,90832.88464999768,1
1998,9,1063.2518817144646,106325.18817144647,1
1998,10,1092.0485030487864,109204.85030487864,1
1998,11,1124.899501174506,112489.9501174506,1
1998,12,1053.1976667631714,105319.76667631713,1
1999,1,1055.0997904863254,105509.97904863255,1
1999,2,1082.9136630155488,108291.36630155488,1
1999,3,1160.9490750224013,116094.90750224012,1
1999,4,1153.403817178408,115340.38171784079,1
1999,5,1173.2526801551578,117325.26801551579,1
1999,6,1110.3544546241817,111035.44546241817,1
1999,7,1273.900931257067,127390.0931257067,1
1999,8,1255.788900725323,125578.89007253229,1
1999,9,1233.1521537005335,123315.21537005335,1
1999,10,1346.5014808542826,134650.14808542826,1
1999,11,1367.5456728580627,136754.56728580626,1
1999,12,1429.6865203834861,142968.6520383486,1
2000,1,1458.0268141020788,145802.68141020788,1
2000,2,1442.6693446854047,144266.93446854048,1
